m,μ,D,N_mean,alphau_mean,betau_mean,Q_ST_u_mean,N_std,alphau_std,betau_std,Q_ST_u_std,mean_local_clustering_coefficient,var._local_clustering_coefficient,mean_betweenness_centrality,var._betweenness_centrality,mean_edge_betweeness_centrality_nx,var._edge_betweeness_centrality_nx,mean_eigenvector_centrality,var._eigenvector_centrality,mean_rich_club_nx,var._rich_club_nx,mean_closeness_centrality,var._closeness_centrality,density,degree_var.,degree_correlation,cl,mean_neighb._deg.,var._neighb._deg.,smax,s_elasticity,modules,mean_deg._distrib.,var._deg._distrib.,diameter,graph_energy,algebraic_connectivity,kk,sqrtk,sqrtk_inv,heat_hetero
0.009999999776482582,0.10000000149011612,0.05000000074505806,1047.774,0.06765360902127764,0.10939489868582226,0.618410103357595,7.1320398554690625,0.012381836092116868,0.01261889339358829,0.060610748984583254,0.0,0.0,0.14285714285714285,0.14285714285714288,0.28571428571428564,0.0,0.3484510841079178,0.025012148981352914,0.2857142857142857,NaN,0.6103896103896104,0.029515938606847703,0.2857142857142857,3.571428571428571,-1.0,1.7142857142857142,5.285714285714286,3.571428571428571,0.32432432432432434,75.0,1.0,21.0,162.0,2.0,4.898979485566353,1.0,0.48979591836734687,0.8499271061118829,1.17657148808284,0.7604154518950436
0.009999999776482582,0.10000000149011612,0.05000000074505806,1049.9609999999998,0.06391439641481146,0.10476399197648267,0.6206880949429299,2.9639234976631648,0.005092858731327566,0.009468783358852453,0.02286611955271604,0.0,0.0,0.18095238095238095,0.1255026455026455,0.31746031746031744,0.006046863189720331,0.3464858218324737,0.026605504480587877,0.6428571428571428,0.2551020408163266,0.5510204081632654,0.02155490767735665,0.2857142857142857,2.2380952380952377,-0.7760000000000005,1.9047619047619047,3.742857142857143,2.729523809523809,0.463768115942029,40.0,2.0,14.0,52.0,3.0,6.324555320336758,0.4659298032772679,0.6050420168067226,0.890802032369829,1.1225838779685628,0.6522872799913616
0.009999999776482582,0.10000000149011612,0.05000000074505806,1051.889,0.06978268402899931,0.09208504924159114,0.5661759844645705,5.7235723110658485,0.009990473093752538,0.016779286807471056,0.06967599062873354,0.29523809523809524,0.23238095238095238,0.13333333333333333,0.12444444444444447,0.23809523809523808,0.007558578987150414,0.3495280338661658,0.024135179131927836,0.6666666666666666,0.2222222222222222,0.625974025974026,0.02786304604486423,0.3333333333333333,3.3333333333333335,-0.8479999999999994,1.6666666666666667,4.761904761904762,3.1746031746031753,0.4406779661016949,66.0,2.0,21.0,98.0,2.0,6.646808552172948,0.9999999999999996,0.5833333333333334,0.8783647081712852,1.1384792566198998,0.7711297376093293
0.009999999776482582,0.10000000149011612,0.05000000074505806,1048.9569999999999,0.0670789525632255,0.09587858582584999,0.5862351644743555,3.672013412284881,0.012048107079140388,0.01812880678693059,0.07155206493831337,0.0,0.0,0.19999999999999998,0.12000000000000001,0.33333333333333326,0.013605442176870744,0.350527039623568,0.02331926024152718,0.7619047619047619,0.1700680272108844,0.5226321297749869,0.01688903935764218,0.2857142857142857,1.5714285714285712,-0.7142857142857143,2.0,3.0714285714285716,1.0357142857142858,0.625,20.0,2.0,14.0,12.0,3.0,6.602720495543135,0.3983208681168451,0.6857142857142857,0.9077227536424317,1.1016579632793009,0.35174738149227935
0.009999999776482582,0.10000000149011612,0.05000000074505806,1052.477,0.07305136252957331,0.0903682507630403,0.5535388682995527,4.64922923719622,0.0249664822306523,0.024823867360985356,0.1442559809049251,0.0,0.0,0.2380952380952381,0.10645502645502647,0.36507936507936506,0.01602418745275888,0.3464600829042469,0.026626312779646166,0.47619047619047616,0.07256235827664398,0.4781789638932496,0.013167977437993134,0.2857142857142857,1.238095238095238,-0.7142857142857156,2.1904761904761907,2.8214285714285716,1.5148809523809526,0.6190476190476191,18.0,2.0,10.5,19.666666666666668,4.0,6.720566232730446,0.29553218574068585,0.7346938775510203,0.9278705416304079,1.0777365538977557,0.5182250836842673
0.009999999776482582,0.10000000149011612,0.05000000074505806,1051.702,0.06413980924065969,0.09610078624589422,0.5971553772611993,3.0179185708033724,0.005366222130498981,0.01468158953121084,0.04724378810757632,0.20476190476190476,0.13793650793650794,0.1619047619047619,0.09460317460317462,0.25850340136054417,0.008206457186049022,0.3464809900348362,0.026609410801893107,0.7777777777777777,0.14814814814814814,0.5789115646258504,0.021140265630061546,0.3333333333333333,2.3333333333333335,-0.7368421052631581,1.8095238095238095,3.752380952380953,1.8514285714285714,0.5975609756097561,37.0,2.0,14.0,64.0,3.0,7.020566348991557,0.5961468705676677,0.6666666666666666,0.89824653344747,1.1132801104859267,0.6327483533095778
0.009999999776482582,0.10000000149011612,0.05000000074505806,1048.52,0.07051607276854055,0.08395663956308173,0.5408634849555399,5.759914278876038,0.01191141901746227,0.020145390787409876,0.0679581582511182,0.0,0.0,0.1619047619047619,0.09126984126984128,0.2585034013605442,0.004049238743116294,0.356839519504783,0.018109816872861593,0.5,0.05555555555555554,0.5740973312401884,0.018432901478427376,0.3333333333333333,2.0,-0.7499999999999999,1.8095238095238095,3.6285714285714286,2.2157142857142857,0.5657894736842105,33.0,2.0,14.0,64.0,3.0,6.898979485566354,0.7269271369323325,0.7,0.9167950811094357,1.0907562885152873,0.730405193823561
0.009999999776482582,0.10000000149011612,0.05000000074505806,1050.301,0.06493747128185527,0.09117235553414041,0.5799056969820118,8.673343069428297,0.01165228132283114,0.021658642626451723,0.0785932838492433,0.39999999999999997,0.2237037037037037,0.12380952380952381,0.09804232804232804,0.20238095238095238,0.007936507936507936,0.34967277127098384,0.024017111870282038,0.7380952380952381,0.1026077097505669,0.6432900432900432,0.02670864489046308,0.38095238095238093,3.2380952380952377,-0.7878787878787878,1.619047619047619,4.571428571428571,2.6838624338624335,0.549618320610687,62.0,2.0,21.0,50.0,2.0,7.21742594792728,0.9999999999999996,0.6530612244897959,0.8946379719331409,1.1177705746595934,0.8632310225677572
0.009999999776482582,0.10000000149011612,0.05000000074505806,1053.3809999999999,0.06491621329678651,0.09922180125964805,0.6031522219603305,2.9683189687094496,0.011782136996188618,0.016174074825611832,0.06999416870091135,0.0,0.0,0.2571428571428571,0.10285714285714286,0.38095238095238093,0.021768707482993192,0.3571428571428572,0.017857142857142873,0.31746031746031744,0.11186696900982612,0.45584415584415583,0.010497343565525381,0.2857142857142857,0.9047619047619048,-0.8620689655172398,2.2857142857142856,2.5238095238095233,0.6613756613756614,0.7272727272727273,9.0,2.0,10.5,9.0,4.0,6.828427124746186,0.2679491924311268,0.7912087912087911,0.9383866713240417,1.0656587849750927,0.5202470035633301
0.009999999776482582,0.10000000149011612,0.05000000074505806,1049.463,0.07445775391625901,0.0913622746128403,0.552083614053416,1.8059713452875727,0.014689174697131343,0.012312696379122415,0.08267460672387739,0.1904761904761905,0.13359788359788358,0.17142857142857143,0.0857142857142857,0.2653061224489796,0.009718172983479103,0.34573960855134367,0.027208143591890954,0.8333333333333333,0.1111111111111111,0.5637362637362637,0.018746830092983936,0.3333333333333333,2.0,-0.7111111111111115,1.8571428571428572,3.4285714285714284,0.9523809523809524,0.6857142857142857,22.0,2.0,14.0,36.0,3.0,7.123105625617657,0.5505102572168257,0.7,0.9043613979384647,1.1057526363681025,0.6317738365187344
